time_s,phase,target_rad,position_rad,velocity_rad_s,position_error_rad,present_load_raw,present_load_signed_ratio,sample_duration_ms,deadline_missed
0.0030079309981374536,settle,0.0,0.0,0.0,0.0,0,0.0,3.0134500011627097,0
0.00999994299854734,settle,0.0,0.0,0.0,0.0,0,0.0,1.5983550001692493,0
0.018994661997567164,settle,0.0,0.0,0.0,0.0,0,0.0,2.2678180030197836,0
0.026996417000191286,settle,0.0,0.0,0.0,0.0,0,0.0,1.9359849975444376,0
0.034997319999092724,settle,0.0,0.0,0.0,0.0,0,0.0,1.6064279989222996,0
0.04399033499794314,settle,0.0,0.0,0.0,0.0,0,0.0,2.26620800094679,0
0.05198886799917091,settle,0.0,0.0,0.0,0.0,0,0.0,1.9323739979881793,0
0.05999732599957497,settle,0.0,0.0,0.0,0.0,0,0.0,1.606835998245515,0
0.0689891189977061,settle,0.0,0.0,0.0,0.0,0,0.0,2.266707000671886,0
0.07699354099895572,settle,0.0,0.0,0.0,0.0,0,0.0,1.9316519974381663,0
0.08498790600060602,settle,0.0,0.0,0.0,0.0,0,0.0,1.5973910012689885,0
0.09398823700030334,settle,0.0,0.0,0.0,0.0,0,0.0,2.2657449990219902,0
0.10198871399916243,settle,0.0,0.0,0.0,0.0,0,0.0,1.932836999912979,0
0.10998732000007294,settle,0.0,0.0,0.0,0.0,0,0.0,1.5968919979059137,0
0.1189875399977609,settle,0.0,0.0,0.0,0.0,0,0.0,2.2648929989372846,0
0.1269859419990098,settle,0.0,0.0,0.0,0.0,0,0.0,1.9300409985589795,0
0.13498638199962443,settle,0.0,0.0,0.0,0.0,0,0.0,1.5974839989212342,0
0.1439842129984754,settle,0.0,0.0,0.0,0.0,0,0.0,2.2616149981331546,0
0.151982744999259,settle,0.0,0.0,0.0,0.0,0,0.0,1.9273180005257018,0
0.15998729599959916,settle,0.0,0.0,0.0,0.0,0,0.0,1.595280999026727,0
0.16898469999796362,settle,0.0,0.0,0.0,0.0,0,0.0,2.2613370019826107,0
0.17698326999743585,settle,0.0,0.0,0.0,0.0,0,0.0,1.9283930014353245,0
0.1849826910001866,settle,0.0,0.0,0.0,0.0,0,0.0,1.5925030020298436,0
0.19398333599747275,settle,0.0,0.0,0.0,0.0,0,0.0,2.261448000353994,0
0.20198112800062518,settle,0.0,0.0,0.0,0.0,0,0.0,1.9256519990449306,0
0.2099836229972425,settle,0.0,0.0,0.0,0.0,0,0.0,1.5925590014376212,0
0.21898028699797578,settle,0.0,0.0,0.0,0.0,0,0.0,2.2572259986191057,0
0.2269830789991829,settle,0.0,0.0,0.0,0.0,0,0.0,1.928263001900632,0
0.23498292599833803,settle,0.0,0.0,0.0,0.0,0,0.0,1.5932440001051873,0
0.2439784050002345,settle,0.0,0.0,0.0,0.0,0,0.0,2.255614999739919,0
0.25197795599888195,settle,0.0,0.0,0.0,0.0,0,0.0,1.9229110002925154,0
0.2599783949990524,settle,0.0,0.0,0.0,0.0,0,0.0,1.589595001860289,0
0.2689788179995958,settle,0.0,0.0,0.0,0.0,0,0.0,2.2568189997400623,0
0.2769767209974816,settle,0.0,0.0,0.0,0.0,0,0.0,1.920947997859912,0
0.284977068000444,settle,0.0,0.0,0.0,0.0,0,0.0,1.5882989973761141,0
0.29397717699976056,settle,0.0,0.0,0.0,0.0,0,0.0,2.2554669994860888,0
0.3019793019993813,settle,0.0,0.0,0.0,0.0,0,0.0,1.9239110006310511,0
0.30997401899730903,settle,0.0,0.0,0.0,0.0,0,0.0,1.5853360018809326,0
0.3189754049999465,settle,0.0,0.0,0.0,0.0,0,0.0,2.2536899996339343,0
0.3269768079990172,settle,0.0,0.0,0.0,0.0,0,0.0,1.9215040010749362,0
0.33497680299842614,settle,0.0,0.0,0.0,0.0,0,0.0,1.5880580031080171,0
0.3439737629996671,settle,0.0,0.0,0.0,0.0,0,0.0,2.249929999379674,0
0.3519730919979338,settle,0.0,0.0,0.0,0.0,0,0.0,1.91644799997448,0
0.35997362499983865,settle,0.0,0.0,0.0,0.0,0,0.0,1.5847619979467709,0
0.3689691590006987,settle,0.0,0.0,0.0,0.0,0,0.0,2.247059001092566,0
0.37704872799804434,settle,0.0,0.0,0.0,0.0,0,0.0,1.9945959975302685,0
0.3849714639982267,settle,0.0,0.0,0.0,0.0,0,0.0,1.5790959987498354,0
0.39397468400056823,settle,0.0,0.0,0.0,0.0,0,0.0,2.2522809995280113,0
0.4019727899976715,settle,0.0,0.0,0.0,0.0,0,0.0,1.9172259999322705,0
0.4099732299982861,settle,0.0,0.0,0.0,0.0,0,0.0,1.5845399975660257,0
0.41897343099844875,settle,0.0,0.0,0.0,0.0,0,0.0,2.2512819996336475,0
0.42697357399811153,settle,0.0,0.0,0.0,0.0,0,0.0,1.9179850023647305,0
0.4349778100004187,settle,0.0,0.0,0.0,0.0,0,0.0,1.588909999554744,0
0.4439725849988463,settle,0.0,0.0,0.0,0.0,0,0.0,2.2490219998871908,0
0.4519741359981708,settle,0.0,0.0,0.0,0.0,0,0.0,1.9189660015399568,0
0.45997633499791846,settle,0.0,0.0,0.0,0.0,0,0.0,1.587799000844825,0
0.4689741660004074,settle,0.0,0.0,0.0,0.0,0,0.0,2.2516520002682228,0
0.47697597599835717,settle,0.0,0.0,0.0,0.0,0,0.0,1.9206520009902306,0
0.4849748790002195,settle,0.0,0.0,0.0,0.0,0,0.0,1.5861880019656383,0
0.493994856999052,settle,0.0,0.0,0.0,0.0,0,0.0,2.269134001835482,0
0.5019791859995166,settle,0.0,0.0,0.0,0.0,0,0.0,1.9223920025979169,0
0.5099795889982488,settle,0.0,0.0,0.0,0.0,0,0.0,1.5905770014796872,0
0.5189786039991304,settle,0.0,0.0,0.0,0.0,0,0.0,2.256448002299294,0
0.5269794889973127,settle,0.0,0.0,0.0,0.0,0,0.0,1.9240959991293494,0
0.5349784840000211,settle,0.0,0.0,0.0,0.0,0,0.0,1.589781000802759,0
0.5439793330006069,settle,0.0,0.0,0.0,0.0,0,0.0,2.2571890003746375,0
0.5519806619995506,settle,0.0,0.0,0.0,0.0,0,0.0,1.9253370010119397,0
0.559981082999002,settle,0.0,0.0,0.0,0.0,0,0.0,1.592522003193153,0
0.5689607280000928,settle,0.0,0.0,0.0,0.0,0,0.0,2.238985001895344,0
0.5769592789984017,settle,0.0,0.0,0.0,0.0,0,0.0,1.904355001897784,0
0.5849639230000321,settle,0.0,0.0,0.0,0.0,0,0.0,1.5710760017100256,0
0.5939634749993274,settle,0.0,0.0,0.0,0.0,0,0.0,2.2402260001399554,0
0.6019626189990959,settle,0.0,0.0,0.0,0.0,0,0.0,1.9073180010309443,0
0.6099623730005987,settle,0.0,0.0,0.0,0.0,0,0.0,1.5731880012026522,0
0.6189581849976094,settle,0.0,0.0,0.0,0.0,0,0.0,2.2363370007951744,0
0.6269613839976955,settle,0.0,0.0,0.0,0.0,0,0.0,1.8984289999934845,0
0.6349597499975062,settle,0.0,0.0,0.0,0.0,0,0.0,1.568668998515932,0
0.6439592659990012,settle,0.0,0.0,0.0,0.0,0,0.0,2.2333189990604296,0
0.6519585759997426,settle,0.0,0.0,0.0,0.0,0,0.0,1.9020409999939147,0
0.6599582199996803,settle,0.0,0.0,0.0,0.0,0,0.0,1.5694100002292544,0
0.6689594759991451,settle,0.0,0.0,0.0,0.0,0,0.0,2.2374109976226464,0
0.6769565819995478,settle,0.0,0.0,0.0,0.0,0,0.0,1.9012070006283466,0
0.68495442999847,settle,0.0,0.0,0.0,0.0,0,0.0,1.5657809999538586,0
0.6939562229999865,settle,0.0,0.0,0.0,0.0,0,0.0,2.2341900003084447,0
0.7019552370002202,settle,0.0,0.0,0.0,0.0,0,0.0,1.899707000120543,0
0.7099573249979585,settle,0.0,0.0,0.0,0.0,0,0.0,1.565188002132345,0
